store_id,city,region,format,seats,base_ads_pkr,served_by_commissary_id,served_by_cold_warehouse_id,served_by_dry_warehouse_id,in_store_marination,opening_year,has_delivery,has_drive_thru
S-0001,Karachi,Sindh,dine_in,30,179965,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2015,True,False
S-0002,Karachi,Sindh,dine_in,60,244350,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2017,True,False
S-0003,Karachi,Sindh,drive_thru,30,254873,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2024,True,True
S-0004,Karachi,Sindh,dine_in,0,254415,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2018,True,False
S-0005,Karachi,Sindh,dine_in,100,120240,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2024,True,False
S-0006,Karachi,Sindh,dine_in,60,257154,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2011,True,False
S-0007,Karachi,Sindh,dine_in,60,228899,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,False
S-0008,Karachi,Sindh,dine_in,0,245999,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2003,True,False
S-0009,Karachi,Sindh,express,30,80000,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2022,True,False
S-0010,Karachi,Sindh,drive_thru,60,326374,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2011,True,True
S-0011,Karachi,Sindh,drive_thru,45,259432,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2013,True,True
S-0012,Karachi,Sindh,drive_thru,45,292900,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,1998,True,True
S-0013,Karachi,Sindh,dine_in,80,209234,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2014,True,False
S-0014,Karachi,Sindh,express,60,152499,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2000,True,False
S-0015,Karachi,Sindh,express,60,144295,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2012,True,False
S-0016,Karachi,Sindh,dine_in,45,216450,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2020,True,False
S-0017,Karachi,Sindh,dine_in,30,179125,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2011,True,False
S-0018,Karachi,Sindh,dine_in,80,236049,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2005,True,False
S-0019,Karachi,Sindh,dine_in,60,276394,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,1997,True,False
S-0020,Karachi,Sindh,express,30,191407,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2022,True,False
S-0021,Karachi,Sindh,express,45,81633,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2012,True,False
S-0022,Karachi,Sindh,drive_thru,60,325484,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,True
S-0023,Karachi,Sindh,drive_thru,100,272759,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,True
S-0024,Karachi,Sindh,drive_thru,60,321158,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,True
S-0025,Karachi,Sindh,drive_thru,30,427753,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2011,True,True
S-0026,Karachi,Sindh,dine_in,0,188582,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2015,True,False
S-0027,Karachi,Sindh,drive_thru,45,280129,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,True
S-0028,Karachi,Sindh,dine_in,45,140559,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2007,True,False
S-0029,Karachi,Sindh,express,100,222531,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2024,True,False
S-0030,Karachi,Sindh,drive_thru,30,313067,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2021,True,True
S-0031,Karachi,Sindh,dine_in,45,211335,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2007,True,False
S-0032,Karachi,Sindh,dine_in,45,167056,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2021,True,False
S-0033,Karachi,Sindh,dine_in,45,212355,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2016,True,False
S-0034,Karachi,Sindh,dine_in,60,164141,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2002,True,False
S-0035,Karachi,Sindh,dine_in,45,212201,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2008,True,False
S-0036,Karachi,Sindh,dine_in,60,216988,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2020,True,False
S-0037,Karachi,Sindh,dine_in,30,229165,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2013,True,False
S-0038,Karachi,Sindh,delivery_only,0,80000,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2023,True,False
S-0039,Karachi,Sindh,drive_thru,45,246336,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2001,True,True
S-0040,Karachi,Sindh,drive_thru,60,276177,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,1998,True,True
S-0041,Karachi,Sindh,dine_in,80,327142,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2019,True,False
S-0042,Karachi,Sindh,dine_in,45,285430,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2002,True,False
S-0043,Karachi,Sindh,drive_thru,80,302408,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2012,True,True
S-0044,Karachi,Sindh,dine_in,30,328570,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2023,True,False
S-0045,Karachi,Sindh,dine_in,60,306797,COM-KHI-01,WHC-KHI-01,WHD-KHI-01,False,2015,True,False
S-0046,Lahore,Punjab,drive_thru,60,292943,,WHC-KHI-01,WHD-KHI-01,True,2016,True,True
S-0047,Lahore,Punjab,dine_in,80,178223,,WHC-KHI-01,WHD-KHI-01,True,2014,True,False
S-0048,Lahore,Punjab,drive_thru,30,319997,,WHC-KHI-01,WHD-KHI-01,True,2021,True,True
S-0049,Lahore,Punjab,express,30,125480,,WHC-KHI-01,WHD-KHI-01,True,2024,True,False
S-0050,Lahore,Punjab,delivery_only,0,140494,,WHC-KHI-01,WHD-KHI-01,True,2016,True,False
S-0051,Lahore,Punjab,dine_in,60,202020,,WHC-KHI-01,WHD-KHI-01,True,2008,True,False
S-0052,Lahore,Punjab,express,45,131515,,WHC-KHI-01,WHD-KHI-01,True,2019,True,False
S-0053,Lahore,Punjab,dine_in,45,235877,,WHC-KHI-01,WHD-KHI-01,True,2020,True,False
S-0054,Lahore,Punjab,express,30,151629,,WHC-KHI-01,WHD-KHI-01,True,2016,True,False
S-0055,Lahore,Punjab,dine_in,45,224051,,WHC-KHI-01,WHD-KHI-01,True,1999,True,False
S-0056,Lahore,Punjab,express,0,173646,,WHC-KHI-01,WHD-KHI-01,True,2021,True,False
S-0057,Lahore,Punjab,dine_in,100,289630,,WHC-KHI-01,WHD-KHI-01,True,2012,True,False
S-0058,Lahore,Punjab,dine_in,45,233953,,WHC-KHI-01,WHD-KHI-01,True,2000,True,False
S-0059,Lahore,Punjab,dine_in,60,245799,,WHC-KHI-01,WHD-KHI-01,True,2003,True,False
