po_id,po_date,expected_delivery_date,supplier_id,procurement_node,ingredient_id,order_qty,unit_price_pkr,line_total_pkr,payment_terms_days
PO-000001,2025-01-03,2025-01-05,SUP-001,COM-KHI-01,ING-001,3947.92,697.98,2755555.58,30
PO-000002,2025-01-05,2025-01-07,SUP-001,COM-KHI-01,ING-001,3652.69,684.92,2501799.37,30
PO-000003,2025-01-07,2025-01-09,SUP-001,COM-KHI-01,ING-001,3469.27,745.26,2585500.49,30
PO-000004,2025-01-11,2025-01-13,SUP-001,COM-KHI-01,ING-001,4143.06,740.55,3068137.35,30
PO-000005,2025-01-13,2025-01-15,SUP-001,COM-KHI-01,ING-001,3211.79,732.42,2352385.16,30
PO-000006,2025-01-16,2025-01-18,SUP-001,COM-KHI-01,ING-001,4112.66,740.02,3043467.5,30
PO-000007,2025-01-19,2025-01-21,SUP-001,COM-KHI-01,ING-001,2820.54,713.59,2012693.98,30
PO-000008,2025-01-22,2025-01-24,SUP-001,COM-KHI-01,ING-001,3807.53,746.21,2841212.5,30
PO-000009,2025-01-25,2025-01-27,SUP-001,COM-KHI-01,ING-001,3320.27,718.78,2386554.12,30
PO-000010,2025-01-29,2025-01-31,SUP-001,COM-KHI-01,ING-001,3510.16,745.05,2615263.31,30
PO-000011,2025-01-31,2025-02-02,SUP-001,COM-KHI-01,ING-001,4092.47,723.77,2962012.55,30
PO-000012,2025-02-03,2025-02-05,SUP-001,COM-KHI-01,ING-001,3666.13,743.76,2726711.82,30
PO-000013,2025-02-06,2025-02-08,SUP-001,COM-KHI-01,ING-001,3675.3,723.01,2657293.58,30
PO-000014,2025-02-11,2025-02-13,SUP-001,COM-KHI-01,ING-001,2990.83,720.99,2156364.5,30
PO-000015,2025-02-12,2025-02-14,SUP-001,COM-KHI-01,ING-001,3763.84,769.42,2895982.49,30
PO-000016,2025-02-15,2025-02-17,SUP-001,COM-KHI-01,ING-001,3818.81,780.46,2980426.68,30
PO-000017,2025-02-18,2025-02-20,SUP-001,COM-KHI-01,ING-001,3243.51,738.1,2394039.25,30
PO-000018,2025-02-21,2025-02-23,SUP-001,COM-KHI-01,ING-001,4283.33,793.34,3398131.37,30
PO-000019,2025-02-24,2025-02-26,SUP-001,COM-KHI-01,ING-001,3184.33,734.44,2338697.16,30
PO-000020,2025-02-27,2025-03-01,SUP-001,COM-KHI-01,ING-001,4648.08,756.13,3514572.16,30
PO-000021,2025-03-02,2025-03-04,SUP-001,COM-KHI-01,ING-001,4220.28,820.59,3463124.45,30
PO-000022,2025-03-05,2025-03-07,SUP-001,COM-KHI-01,ING-001,4957.87,810.53,4018526.98,30
PO-000023,2025-03-08,2025-03-10,SUP-001,COM-KHI-01,ING-001,4638.09,831.29,3855595.29,30
PO-000024,2025-03-11,2025-03-13,SUP-001,COM-KHI-01,ING-001,4828.24,815.29,3936416.2,30
PO-000025,2025-03-16,2025-03-18,SUP-001,COM-KHI-01,ING-001,5827.29,813.49,4740458.07,30
PO-000026,2025-03-17,2025-03-19,SUP-001,COM-KHI-01,ING-001,4083.58,845.59,3453020.68,30
PO-000027,2025-03-20,2025-03-22,SUP-001,COM-KHI-01,ING-001,5243.62,842.69,4418747.2,30
PO-000028,2025-03-23,2025-03-25,SUP-001,COM-KHI-01,ING-001,4280.89,874.57,3743926.25,30
PO-000029,2025-03-26,2025-03-28,SUP-001,COM-KHI-01,ING-001,5632.48,881.49,4964947.36,30
PO-000030,2025-03-29,2025-03-31,SUP-001,COM-KHI-01,ING-001,5054.06,823.52,4162116.33,30
PO-000031,2025-04-01,2025-04-03,SUP-001,COM-KHI-01,ING-001,4891.2,787.09,3849797.63,30
