delivery_id,po_id,delivery_date,supplier_id,destination_node,ingredient_id,ordered_qty,delivered_qty,quality_pass_qty,status,delay_days
DEL-000001,PO-000001,2025-01-05,SUP-001,COM-KHI-01,ING-001,3947.92,3947.92,3947.92,on_time,0
DEL-000002,PO-000002,2025-01-09,SUP-001,COM-KHI-01,ING-001,3652.69,3652.69,3652.69,late,2
DEL-000003,PO-000003,2025-01-09,SUP-001,COM-KHI-01,ING-001,3469.27,3469.27,3469.27,on_time,0
DEL-000004,PO-000004,2025-01-13,SUP-001,COM-KHI-01,ING-001,4143.06,4143.06,4143.06,on_time,0
DEL-000005,PO-000005,2025-01-15,SUP-001,COM-KHI-01,ING-001,3211.79,3211.79,3211.79,on_time,0
DEL-000006,PO-000006,2025-01-18,SUP-001,COM-KHI-01,ING-001,4112.66,4112.66,4112.66,on_time,0
DEL-000007,PO-000007,2025-01-22,SUP-001,COM-KHI-01,ING-001,2820.54,2820.54,2820.54,late,1
DEL-000008,PO-000008,2025-01-24,SUP-001,COM-KHI-01,ING-001,3807.53,3807.53,3807.53,on_time,0
DEL-000009,PO-000009,2025-01-27,SUP-001,COM-KHI-01,ING-001,3320.27,3045.13,3045.13,on_time,0
DEL-000010,PO-000010,2025-01-31,SUP-001,COM-KHI-01,ING-001,3510.16,3510.16,3510.16,on_time,0
DEL-000011,PO-000011,2025-02-02,SUP-001,COM-KHI-01,ING-001,4092.47,4092.47,4092.47,on_time,0
DEL-000012,PO-000012,2025-02-05,SUP-001,COM-KHI-01,ING-001,3666.13,3666.13,3666.13,on_time,0
DEL-000013,PO-000013,2025-02-08,SUP-001,COM-KHI-01,ING-001,3675.3,3675.3,3675.3,on_time,0
DEL-000014,PO-000014,2025-02-13,SUP-001,COM-KHI-01,ING-001,2990.83,2990.83,2990.83,on_time,0
DEL-000015,PO-000015,2025-02-14,SUP-001,COM-KHI-01,ING-001,3763.84,3763.84,3763.84,on_time,0
DEL-000016,PO-000016,2025-02-17,SUP-001,COM-KHI-01,ING-001,3818.81,3818.81,3818.81,on_time,0
DEL-000017,PO-000017,2025-02-20,SUP-001,COM-KHI-01,ING-001,3243.51,3243.51,2847.37,on_time,0
DEL-000018,PO-000018,2025-02-23,SUP-001,COM-KHI-01,ING-001,4283.33,4283.33,4283.33,on_time,0
DEL-000019,PO-000019,2025-02-26,SUP-001,COM-KHI-01,ING-001,3184.33,3184.33,3184.33,on_time,0
DEL-000020,PO-000020,2025-03-01,SUP-001,COM-KHI-01,ING-001,4648.08,4648.08,4648.08,on_time,0
DEL-000021,PO-000021,2025-03-04,SUP-001,COM-KHI-01,ING-001,4220.28,4220.28,4220.28,on_time,0
DEL-000022,PO-000022,2025-03-07,SUP-001,COM-KHI-01,ING-001,4957.87,4957.87,4957.87,on_time,0
DEL-000023,PO-000023,2025-03-10,SUP-001,COM-KHI-01,ING-001,4638.09,4026.32,4026.32,on_time,0
DEL-000024,PO-000024,2025-03-13,SUP-001,COM-KHI-01,ING-001,4828.24,4828.24,4828.24,on_time,0
DEL-000025,PO-000025,2025-03-18,SUP-001,COM-KHI-01,ING-001,5827.29,5827.29,5827.29,on_time,0
DEL-000026,PO-000026,2025-03-19,SUP-001,COM-KHI-01,ING-001,4083.58,3590.0,3590.0,on_time,0
DEL-000027,PO-000027,2025-03-22,SUP-001,COM-KHI-01,ING-001,5243.62,5243.62,5243.62,on_time,0
DEL-000028,PO-000028,2025-03-25,SUP-001,COM-KHI-01,ING-001,4280.89,4280.89,4280.89,on_time,0
DEL-000029,PO-000029,2025-03-28,SUP-001,COM-KHI-01,ING-001,5632.48,5632.48,5632.48,on_time,0
DEL-000030,PO-000030,2025-03-31,SUP-001,COM-KHI-01,ING-001,5054.06,4432.72,4432.72,on_time,0
DEL-000031,PO-000031,2025-04-04,SUP-001,COM-KHI-01,ING-001,4891.2,4891.2,4891.2,late,1
DEL-000032,PO-000032,2025-04-08,SUP-001,COM-KHI-01,ING-001,4037.96,3564.47,3564.47,late,2
DEL-000033,PO-000033,2025-04-09,SUP-001,COM-KHI-01,ING-001,3395.84,3395.84,3395.84,on_time,0
DEL-000034,PO-000034,2025-04-14,SUP-001,COM-KHI-01,ING-001,4566.37,4566.37,4566.37,late,2
DEL-000035,PO-000035,2025-04-15,SUP-001,COM-KHI-01,ING-001,3293.05,3016.39,3016.39,on_time,0
DEL-000036,PO-000036,2025-04-18,SUP-001,COM-KHI-01,ING-001,4480.32,4480.32,4480.32,on_time,0
DEL-000037,PO-000037,2025-04-21,SUP-001,COM-KHI-01,ING-001,4147.99,4147.99,4147.99,on_time,0
DEL-000038,PO-000038,2025-04-24,SUP-001,COM-KHI-01,ING-001,4038.68,4038.68,4038.68,on_time,0
DEL-000039,PO-000039,2025-04-27,SUP-001,COM-KHI-01,ING-001,4946.28,4946.28,4946.28,on_time,0
DEL-000040,PO-000040,2025-04-30,SUP-001,COM-KHI-01,ING-001,3827.67,3827.67,3827.67,on_time,0
DEL-000041,PO-000041,2025-05-05,SUP-001,COM-KHI-01,ING-001,4464.36,4464.36,4464.36,late,2
DEL-000042,PO-000042,2025-05-06,SUP-001,COM-KHI-01,ING-001,3362.92,3362.92,3362.92,on_time,0
DEL-000043,PO-000043,2025-05-09,SUP-001,COM-KHI-01,ING-001,4660.47,4660.47,4660.47,on_time,0
DEL-000044,PO-000044,2025-05-12,SUP-001,COM-KHI-01,ING-001,4044.96,4044.96,4044.96,on_time,0
DEL-000045,PO-000045,2025-05-16,SUP-001,COM-KHI-01,ING-001,3751.86,3751.86,3751.86,late,1
DEL-000046,PO-000046,2025-05-18,SUP-001,COM-KHI-01,ING-001,3953.72,3953.72,3953.72,on_time,0
DEL-000047,PO-000047,2025-05-21,SUP-001,COM-KHI-01,ING-001,3445.38,3445.38,3445.38,on_time,0
DEL-000048,PO-000048,2025-05-24,SUP-001,COM-KHI-01,ING-001,3970.11,3970.11,3970.11,on_time,0
DEL-000049,PO-000049,2025-05-30,SUP-001,COM-KHI-01,ING-001,2855.54,2855.54,2855.54,late,1
DEL-000050,PO-000050,2025-05-31,SUP-001,COM-KHI-01,ING-001,3677.48,3677.48,3677.48,late,1
DEL-000051,PO-000051,2025-06-04,SUP-001,COM-KHI-01,ING-001,3699.43,3699.43,3699.43,on_time,0
DEL-000052,PO-000052,2025-06-05,SUP-001,COM-KHI-01,ING-001,3294.16,3294.16,3294.16,on_time,0
DEL-000053,PO-000053,2025-06-10,SUP-001,COM-KHI-01,ING-001,3758.74,3758.74,3758.74,late,2
DEL-000054,PO-000054,2025-06-13,SUP-001,COM-KHI-01,ING-001,3143.77,3143.77,3143.77,on_time,0
DEL-000055,PO-000055,2025-06-14,SUP-001,COM-KHI-01,ING-001,3943.35,3943.35,3943.35,on_time,0
DEL-000056,PO-000056,2025-06-17,SUP-001,COM-KHI-01,ING-001,2937.16,2937.16,2937.16,on_time,0
DEL-000057,PO-000057,2025-06-20,SUP-001,COM-KHI-01,ING-001,4064.67,4064.67,4064.67,on_time,0
DEL-000058,PO-000058,2025-06-29,SUP-001,COM-KHI-01,ING-001,3470.75,3470.75,3470.75,very_late,4
DEL-000059,PO-000059,2025-06-29,SUP-001,COM-KHI-01,ING-001,3694.01,3181.38,3181.38,late,1
DEL-000060,PO-000060,2025-06-30,SUP-001,COM-KHI-01,ING-001,3935.91,3935.91,3935.91,late,1
DEL-000061,PO-000061,2025-07-02,SUP-001,COM-KHI-01,ING-001,903.73,903.73,903.73,on_time,0
DEL-000062,PO-000062,2025-01-03,SUP-001,COM-KHI-01,ING-002,5678.72,5678.72,5678.72,on_time,0
DEL-000063,PO-000063,2025-01-10,SUP-001,COM-KHI-01,ING-002,5137.77,4667.8,4667.8,very_late,4
DEL-000064,PO-000064,2025-01-10,SUP-001,COM-KHI-01,ING-002,4020.59,4020.59,4020.59,on_time,0
DEL-000065,PO-000065,2025-01-16,SUP-001,COM-KHI-01,ING-002,6178.74,5320.77,5320.77,very_late,4
DEL-000066,PO-000066,2025-01-17,SUP-001,COM-KHI-01,ING-002,3833.36,3543.81,3543.81,late,2
DEL-000067,PO-000067,2025-01-18,SUP-001,COM-KHI-01,ING-002,6460.13,6460.13,6460.13,on_time,0
DEL-000068,PO-000068,2025-01-21,SUP-001,COM-KHI-01,ING-002,4234.83,4234.83,4234.83,on_time,0
DEL-000069,PO-000069,2025-01-26,SUP-001,COM-KHI-01,ING-002,5051.09,5051.09,5051.09,late,2
