invoice_id,po_id,delivery_id,supplier_id,invoice_date,due_date,amount_pkr,payment_terms_days
INV-000001,PO-000001,DEL-000001,SUP-001,2025-01-07,2025-02-06,2755569.2,30
INV-000002,PO-000002,DEL-000002,SUP-001,2025-01-11,2025-02-10,2501800.43,30
INV-000003,PO-000003,DEL-000003,SUP-001,2025-01-09,2025-02-08,2585508.16,30
INV-000004,PO-000004,DEL-000004,SUP-001,2025-01-15,2025-02-14,3068143.08,30
INV-000005,PO-000005,DEL-000005,SUP-001,2025-01-15,2025-02-14,2352379.23,30
INV-000006,PO-000006,DEL-000006,SUP-001,2025-01-18,2025-02-17,3043450.65,30
INV-000007,PO-000007,DEL-000007,SUP-001,2025-01-22,2025-02-21,2012709.14,30
INV-000008,PO-000008,DEL-000008,SUP-001,2025-01-24,2025-02-23,2841216.96,30
INV-000009,PO-000009,DEL-000009,SUP-001,2025-01-29,2025-02-28,2188778.54,30
INV-000010,PO-000010,DEL-000010,SUP-001,2025-02-01,2025-03-03,2615244.71,30
INV-000011,PO-000011,DEL-000011,SUP-001,2025-02-04,2025-03-06,2962007.01,30
INV-000012,PO-000012,DEL-000012,SUP-001,2025-02-07,2025-03-09,2726720.85,30
INV-000013,PO-000013,DEL-000013,SUP-001,2025-02-09,2025-03-11,2657278.65,30
INV-000014,PO-000014,DEL-000014,SUP-001,2025-02-13,2025-03-15,2156358.52,30
INV-000015,PO-000015,DEL-000015,SUP-001,2025-02-15,2025-03-17,2895973.77,30
INV-000016,PO-000016,DEL-000016,SUP-001,2025-02-17,2025-03-19,2980428.45,30
INV-000017,PO-000017,DEL-000017,SUP-001,2025-02-22,2025-03-24,2101643.8,30
INV-000018,PO-000018,DEL-000018,SUP-001,2025-02-25,2025-03-27,3398137.02,30
INV-000019,PO-000019,DEL-000019,SUP-001,2025-02-26,2025-03-28,2338699.33,30
INV-000020,PO-000020,DEL-000020,SUP-001,2025-03-01,2025-03-31,3514552.73,30
INV-000021,PO-000021,DEL-000021,SUP-001,2025-03-05,2025-04-04,3463119.57,30
INV-000022,PO-000022,DEL-000022,SUP-001,2025-03-08,2025-04-07,4018502.37,30
INV-000023,PO-000023,DEL-000023,SUP-001,2025-03-10,2025-04-09,3347039.55,30
