payment_id,invoice_id,supplier_id,payment_date,amount_pkr,days_vs_due
PAY-000001,INV-000001,SUP-001,2025-02-07,2755569.2,1
PAY-000002,INV-000002,SUP-001,2025-02-16,2501800.43,6
PAY-000003,INV-000003,SUP-001,2025-02-07,2585508.16,-1
PAY-000004,INV-000004,SUP-001,2025-02-20,3068143.08,6
PAY-000005,INV-000005,SUP-001,2025-02-13,2352379.23,-1
PAY-000006,INV-000006,SUP-001,2025-02-20,3043450.65,3
PAY-000007,INV-000007,SUP-001,2025-02-23,2012709.14,2
PAY-000008,INV-000008,SUP-001,2025-02-21,2841216.96,-2
PAY-000009,INV-000009,SUP-001,2025-03-02,2188778.54,2
PAY-000010,INV-000010,SUP-001,2025-03-07,2615244.71,4
PAY-000011,INV-000011,SUP-001,2025-03-06,2962007.01,0
PAY-000012,INV-000012,SUP-001,2025-03-11,2726720.85,2
PAY-000013,INV-000013,SUP-001,2025-03-10,2657278.65,-1
PAY-000014,INV-000014,SUP-001,2025-03-14,2156358.52,-1
PAY-000015,INV-000015,SUP-001,2025-03-13,2895973.77,-4
PAY-000016,INV-000016,SUP-001,2025-03-19,2980428.45,0
PAY-000017,INV-000017,SUP-001,2025-03-26,2101643.8,2
PAY-000018,INV-000018,SUP-001,2025-03-29,3398137.02,2
PAY-000019,INV-000019,SUP-001,2025-03-29,2338699.33,1
PAY-000020,INV-000020,SUP-001,2025-03-29,3514552.73,-2
PAY-000021,INV-000021,SUP-001,2025-04-06,3463119.57,2
PAY-000022,INV-000022,SUP-001,2025-04-09,4018502.37,2
PAY-000023,INV-000023,SUP-001,2025-04-11,3347039.55,2
PAY-000024,INV-000024,SUP-001,2025-04-18,3936415.79,5
PAY-000025,INV-000025,SUP-001,2025-04-21,4740442.14,2
PAY-000026,INV-000026,SUP-001,2025-04-18,3035668.1,0
PAY-000027,INV-000027,SUP-001,2025-04-23,4418746.14,1
PAY-000028,INV-000028,SUP-001,2025-04-26,3743937.97,2
PAY-000029,INV-000029,SUP-001,2025-04-29,4964974.8,2
PAY-000030,INV-000030,SUP-001,2025-05-01,3650433.57,1
PAY-000031,INV-000031,SUP-001,2025-05-05,3849814.61,-1
PAY-000032,INV-000032,SUP-001,2025-05-07,2867865.63,-1
PAY-000033,INV-000033,SUP-001,2025-05-10,2613676.17,-1
PAY-000034,INV-000034,SUP-001,2025-05-17,3594235.49,2
PAY-000035,INV-000035,SUP-001,2025-05-19,2290013.12,2
PAY-000036,INV-000036,SUP-001,2025-06-03,3716604.65,15
PAY-000037,INV-000037,SUP-001,2025-05-22,3336684.64,1
PAY-000038,INV-000038,SUP-001,2025-05-21,3209417.84,-3
PAY-000039,INV-000039,SUP-001,2025-05-25,3833614.31,-3
PAY-000040,INV-000040,SUP-001,2025-05-29,3099379.23,-1
PAY-000041,INV-000041,SUP-001,2025-06-05,3099024.78,-1
PAY-000042,INV-000042,SUP-001,2025-06-14,2408624.19,7
PAY-000043,INV-000043,SUP-001,2025-06-11,3068872.89,1
PAY-000044,INV-000044,SUP-001,2025-06-20,2880699.16,9
PAY-000045,INV-000045,SUP-001,2025-06-16,2499113.95,-1
PAY-000046,INV-000046,SUP-001,2025-06-19,2730162.27,1
PAY-000047,INV-000047,SUP-001,2025-06-20,2292555.85,0
PAY-000048,INV-000048,SUP-001,2025-06-29,2717024.18,5
PAY-000049,INV-000049,SUP-001,2025-07-01,1930773.37,2
PAY-000050,INV-000050,SUP-001,2025-07-07,2407131.31,7
PAY-000051,INV-000051,SUP-001,2025-07-08,2486793.84,2
PAY-000052,INV-000052,SUP-001,2025-07-06,2226983.93,-1
PAY-000053,INV-000053,SUP-001,2025-07-08,2611572.55,-2
PAY-000054,INV-000054,SUP-001,2025-07-14,2182247.95,1
PAY-000055,INV-000055,SUP-001,2025-07-25,2652021.18,11
PAY-000056,INV-000056,SUP-001,2025-07-27,2002790.66,9
PAY-000057,INV-000057,SUP-001,2025-07-23,2624882.59,2
PAY-000058,INV-000058,SUP-001,2025-07-28,2196255.89,-1
PAY-000059,INV-000059,SUP-001,2025-07-29,2133147.1,0
PAY-000060,INV-000060,SUP-001,2025-08-13,2550981.35,14
PAY-000061,INV-000061,SUP-001,2025-08-02,595765.93,1
PAY-000062,INV-000062,SUP-001,2025-02-03,3328638.52,1
PAY-000063,INV-000063,SUP-001,2025-02-11,2664333.56,2
PAY-000064,INV-000064,SUP-001,2025-02-13,2285021.91,2
PAY-000065,INV-000065,SUP-001,2025-02-27,2951963.2,10
PAY-000066,INV-000066,SUP-001,2025-02-25,2069443.29,9
PAY-000067,INV-000067,SUP-001,2025-02-16,3897719.44,-1
PAY-000068,INV-000068,SUP-001,2025-02-23,2419824.21,1
PAY-000069,INV-000069,SUP-001,2025-02-25,3015551.24,0
PAY-000070,INV-000070,SUP-001,2025-02-25,3210430.29,-1
PAY-000071,INV-000071,SUP-001,2025-03-06,2419360.54,2
PAY-000072,INV-000072,SUP-001,2025-03-02,3910582.06,-3
PAY-000073,INV-000073,SUP-001,2025-03-07,2481903.22,-1
PAY-000074,INV-000074,SUP-001,2025-03-07,3931701.51,-4
PAY-000075,INV-000075,SUP-001,2025-03-14,2680873.49,0
PAY-000076,INV-000076,SUP-001,2025-03-17,3346285.88,-1
PAY-000077,INV-000077,SUP-001,2025-03-20,3161559.55,1
PAY-000078,INV-000078,SUP-001,2025-03-20,2637885.84,-2
PAY-000079,INV-000079,SUP-001,2025-03-26,4256750.45,0
PAY-000080,INV-000080,SUP-001,2025-03-28,2571466.19,-1
PAY-000081,INV-000081,SUP-001,2025-04-02,5041414.68,0
PAY-000082,INV-000082,SUP-001,2025-04-03,4860641.35,-1
PAY-000083,INV-000083,SUP-001,2025-04-10,6062463.29,2
PAY-000084,INV-000084,SUP-001,2025-04-12,7089606.35,-1
PAY-000085,INV-000085,SUP-001,2025-04-16,4904407.18,2
PAY-000086,INV-000086,SUP-001,2025-04-15,7699303.36,0
PAY-000087,INV-000087,SUP-001,2025-04-22,5052445.1,2
PAY-000088,INV-000088,SUP-001,2025-04-21,8007214.39,-1
PAY-000089,INV-000089,SUP-001,2025-04-28,4993118.92,1
PAY-000090,INV-000090,SUP-001,2025-04-30,5655552.34,2
PAY-000091,INV-000091,SUP-001,2025-05-04,6296920.54,0
PAY-000092,INV-000092,SUP-001,2025-05-12,3594943.04,6
PAY-000093,INV-000093,SUP-001,2025-05-15,4309159.1,2
PAY-000094,INV-000094,SUP-001,2025-05-07,2464257.1,-3
PAY-000095,INV-000095,SUP-001,2025-05-18,4549124.58,2
PAY-000096,INV-000096,SUP-001,2025-05-17,3192505.82,2
PAY-000097,INV-000097,SUP-001,2025-05-23,3911883.95,5
PAY-000098,INV-000098,SUP-001,2025-05-23,4266159.77,0
PAY-000099,INV-000099,SUP-001,2025-05-31,2810670.62,6
PAY-000100,INV-000100,SUP-001,2025-06-01,5012278.1,3
PAY-000101,INV-000101,SUP-001,2025-06-01,2906226.11,2
